BRAND     , PRICES    ,  SAVES    , TITLES   , LINK    
EVGA, 12.111,0%, EVGA GeForce GTX 1660 SUPER BLACK GAMING Video Card 06G-P4-1061-KR 6GB GDDR6 Single Fan, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA, 29.819,0%, EVGA GeForce RTX 2070 SUPER XC ULTRA+ Video Card OVERCLOCKED 2.75-Slot Extreme Cool Dual 70C Gaming RGB Metal Backplate 08G-P4-3175-KR 8GB 15.5 GHz GDDR6, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA, 38.977,0%, EVGA GeForce RTX 2080 SUPER XC GAMING Video Card 08G-P4-3182-KR 8GB GDDR6 RGB LED Metal Backplate, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA, 38.635,0%, EVGA GeForce RTX 2080 SUPER XC ULTRA GAMING Video Card 08G-P4-3183-KR 8GB GDDR6 RGB LED Metal Backplate, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA, 15.412,23%, EVGA GeForce GTX 1660 Ti SC ULTRA GAMING 06G-P4-1667-KR 6GB GDDR6 Dual Fan Metal Backplate, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA, 21.968,17%, EVGA GeForce RTX 2060 SUPER SC ULTRA GAMING 08G-P4-3067-KR 8GB GDDR6 Dual HDB Fans Metal Backplate, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA, 28.715,0%, EVGA GeForce RTX 2070 SUPER XC ULTRA GAMING 08G-P4-3173-KR 8GB GDDR6 Dual HDB Fans RGB LED Metal Backplate, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA, 28.156,0%, EVGA GeForce RTX 2070 SUPER XC GAMING 08G-P4-3172-KR 8GB GDDR6 Dual HDB Fans RGB LED Metal Backplate, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA, 42.289,0%, EVGA GeForce RTX 2080 SUPER FTW3 HYBRID GAMING Video Card 08G-P4-3288-KR 8GB GDDR6 RGB LED Logo iCX2 Technology Metal Backplate, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA, 18.228,17%, EVGA GeForce RTX 2060 SC GAMING 06G-P4-2062-KR 6GB GDDR6 HDB Fan, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA, 67.683,13%, EVGA GeForce RTX 2080 Ti FTW3 ULTRA GAMING 11G-P4-2487-KR 11GB GDDR6 iCX2 & RGB LED, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA, 23.813,17%, EVGA GeForce RTX 2060 SUPER XC ULTRA GAMING 08G-P4-3163-KR 8GB GDDR6 Dual HDB Fans RGB LED Metal Backplate, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA, 78.315,0%, EVGA GeForce RTX 2080 TI FTW3 ULTRA HYBRID GAMING 11G-P4-2484-KR 11GB GDDR6 RGB LED & iCX2 Technology - 9 Thermal Sensors, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA, 15.216,0%, EVGA GeForce GTX 1660 Ti XC GAMING 06G-P4-1263-KR 6GB GDDR6 HDB Fan, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA, 63.412,17%, EVGA GeForce RTX 2080 Ti XC ULTRA GAMING 11G-P4-2383-KR 11GB GDDR6 Dual HDB Fans & RGB LED, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA, 46.143,0%, EVGA GeForce RTX 2080 SUPER FTW3 HYDRO COPPER GAMING Video Card 08G-P4-3289-KR 8GB GDDR6 RGB LED iCX2 Technology Metal Backplate, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA,     5.636,17%, EVGA GeForce GT 1030 SC 02G-P4-6332-KR 2GB GDDR5 Passive Low Profile, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA, 64.339,17%, EVGA GeForce RTX 2080 Ti GAMING Video Card 11G-P4-2380-KR 11GB GDDR6 RGB LED Logo Metal Backplate, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA, 83.897,0%, EVGA GeForce RTX 2080 Ti FTW3 ULTRA HYDRO COPPER GAMING 11G-P4-2489-KR 11GB GDDR6 RGB LED & iCX2 Technology - 9 Thermal Sensors, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA, 41.947,0%, EVGA GeForce RTX 2080 SUPER FTW3 GAMING 08G-P4-3283-KR 8GB GDDR6 iCX2 Technology RGB LED Metal Backplate, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA, 22.612,17%, EVGA GeForce RTX 2060 SUPER SC BLACK GAMING Video Card 08G-P4-3062-KR 8GB GDDR6 Dual Fans, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA, 78.491,17%, EVGA GeForce RTX 2080 Ti XC HYBRID GAMING 11G-P4-2384-KR 11GB GDDR6 HYBRID RGB LED Logo Metal Backplate, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA, 22.217,23%, EVGA GeForce RTX 2060 SC Ultra GAMING 06G-P4-2067-KR 6GB GDDR6 Dual HDB Fans, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA, 32.969,23%, EVGA GeForce RTX 2070 SUPER FTW3 ULTRA GAMING 08G-P4-3277-KR 8GB GDDR6 iCX2 Technology RGB LED Metal Backplate, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA,     9.715,23%, EVGA GeForce GTX 1650 SUPER SC ULTRA GAMING Video Card 04G-P4-1357-KR 4GB GDDR6 Dual Fan Metal Backplate, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA, 43.675,17%, EVGA GeForce RTX 2080 SUPER XC HYBRID GAMING 08G-P4-3188-KR 8GB GDDR6 RGB LED Logo Metal Backplate, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA, 42.821,17%, EVGA GeForce RTX 2080 SUPER FTW3 ULTRA GAMING Video Card 08G-P4-3287-KR 8GB GDDR6 iCX2 Technology RGB LED Metal Backplate, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA, 27.997,17%, EVGA GeForce RTX 2070 SUPER BLACK GAMING 08G-P4-3071-KR 8GB GDDR6, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA, 63.815,17%, EVGA GeForce RTX 2080 Ti DirectX 12 11G-P4-2281-KR 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support BLACK EDITION GAMING Video Card Dual HDB Fans & RGB LED, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA, 39.122,17%, EVGA GeForce RTX 2080 SUPER BLACK GAMING 08G-P4-3081-KR 8GB GDDR6, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA, 29.487,17%, EVGA GeForce RTX 2070 SUPER GAMING 08G-P4-3070-KR 8GB GDDR6 RGB LED Logo, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA,     2.248,16%, EVGA GeForce 210 DirectX 10.1 01G-P3-1313-KR 1GB 64-Bit DDR3 PCI Express 2.0 HDCP Ready Low Profile Ready Video Card, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA, 13.661,17%, EVGA GeForce GTX 1660 SUPER SC ULTRA GAMING 06G-P4-1068-KR 6GB GDDR6 Dual Fan Metal Backplate, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA, 25.115,17%, EVGA GeForce RTX 2060 SUPER XC GAMING 08G-P4-3162-KR 8GB GDDR6 Dual HDB Fans RGB LED Metal Backplate, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA,     8.944,17%, EVGA GeForce GTX 1650 SC ULTRA GAMING 04G-P4-1057-KR 4GB GDDR5 Dual Fan Metal Backplate, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
EVGA,     2.732,16%, EVGA GeForce GT 710 DirectX 12 01G-P3-2711-KR 1GB 64-Bit DDR3 PCI Express 2.0 Low Profile Video Card, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
