BRAND     , PRICES    ,  SAVES    , TITLES   , LINK    
GIGABYTE, 26.157,0%, GIGABYTE GeForce RTX 2070 Super WINDFORCE OC 3X 8G Graphics Card 3 x WINDFORCE Fans 8GB 256-Bit GDDR6 GV-N207SWF3OC-8GD Video Card, https://www.newegg.com/global/ph-en/GIGABYTE/BrandStore/ID-1314
GIGABYTE, 28.318,0%, GIGABYTE GeForce RTX 2070 Super GAMING OC 3X 8G Graphics Card 3 x WINDFORCE Fans 8GB 256-Bit GDDR6 GV-N207SGAMING OC-8GD Video Card, https://www.newegg.com/global/ph-en/GIGABYTE/BrandStore/ID-1314
GIGABYTE, 14.577,0%, GIGABYTE GeForce GTX 1660 Ti OC 6G Graphics Card 2 x WINDFORCE Fans 6GB 192-Bit GDDR6 GV-N166TOC-6GD Video Card, https://www.newegg.com/global/ph-en/GIGABYTE/BrandStore/ID-1314
GIGABYTE, 12.593,0%, GIGABYTE GeForce GTX 1660 GAMING OC 6G Graphics Card 3 x WINDFORCE Fans 6GB 192-Bit GDDR5 GV-N1660GAMING OC-6GD Video Card, https://www.newegg.com/global/ph-en/GIGABYTE/BrandStore/ID-1314
GIGABYTE, 37.438,0%, GIGABYTE GeForce RTX 2080 Super WINDFORCE OC 8G Graphics Card 3 x WINDFORCE Fans 8GB 256-Bit GDDR6 GV-N208SWF3OC-8GD Video Card, https://www.newegg.com/global/ph-en/GIGABYTE/BrandStore/ID-1314
GIGABYTE, 31.717,0%, GIGABYTE AORUS GeForce RTX 2070 Super 8G Graphics Card WINDFORCE Stack 8GB 256-Bit GDDR6 GV-N207SAORUS-8GC Video Card, https://www.newegg.com/global/ph-en/GIGABYTE/BrandStore/ID-1314
ASUS, 26.581,0%, ASUS GeForce RTX 2070 Super Overclocked 8G EVO GDDR6 Dual-Fan Edition VR Ready HDMI DisplayPort Gaming Graphics Card (DUAL-RTX2070S-O8G-EVO), https://www.newegg.com/global/ph-en/ASUS/BrandStore/ID-1315
GIGABYTE, 21.866,0%, GIGABYTE Radeon RX 5700 XT GAMING OC 8G Graphics Card PCIe 4.0 8GB 256-Bit GDDR6 GV-R57XTGAMING OC-8GD Video Card, https://www.newegg.com/global/ph-en/GIGABYTE/BrandStore/ID-1314
GIGABYTE, 18.684,0%, GIGABYTE Radeon RX 5700 GAMING OC 8G Graphics Card PCIe 4.0 8GB 256-Bit GDDR6 GV-R57GAMING OC-8GD Video Card, https://www.newegg.com/global/ph-en/GIGABYTE/BrandStore/ID-1314
GIGABYTE, 11.948,0%, GIGABYTE GeForce GTX 1660 OC 6G Graphics Card 2 x WINDFORCE Fans 6GB 192-Bit GDDR5 GV-N1660OC-6GD Video Card, https://www.newegg.com/global/ph-en/GIGABYTE/BrandStore/ID-1314
ASUS, 21.731,23%, ASUS Radeon RX 5700 PCIe 4.0 VR Ready Graphics Card with 8GB GDDR6 Memory and Support for up to 6 Monitors (RX5700-8G), https://www.newegg.com/global/ph-en/ASUS/BrandStore/ID-1315
ASUS, 17.167,11%, ASUS TUF Gaming GeForce RTX 2060 OC Edition 6GB GDDR6 VR Ready HDMI 2.0b DP 1.4 Auto Extreme Graphics Card (TUF-RTX2060-O6G-GAMING), https://www.newegg.com/global/ph-en/ASUS/BrandStore/ID-1315
ASUS,     7.863,12%, ASUS ROG Strix Radeon RX 570 O4G Gaming OC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card (ROG-STRIX-RX570-O4G-GAMING), https://www.newegg.com/global/ph-en/ASUS/BrandStore/ID-1315
ASUS,     2.881,0%, ASUS GeForce GT 710 2GB GDDR5 HDMI VGA DVI Graphics Card (GT710-SL-2GD5-CSM), https://www.newegg.com/global/ph-en/ASUS/BrandStore/ID-1315
ZOTAC, 36.379,0%, ZOTAC GAMING GeForce RTX 2080 SUPER Twin Fan 8GB GDDR6 256-bit 15.5 Gbps Gaming Graphics Card IceStorm 2.0 Spectra Lighting ZT-T20820F-10P, https://www.newegg.com/global/ph-en/ZOTAC/BrandStore/ID-12150
Sapphire Tech, 14.552,0%, SAPPHIRE PULSE Radeon RX 5600 XT DirectX 12 100419P6GL 6GB 192-Bit GDDR6 PCI Express 4.0 ATX Video Card, https://www.newegg.com/global/ph-en/Sapphire-Tech/BrandStore/ID-1561
MSI, 22.368,0%, MSI GeForce RTX 2070 DirectX 12 RTX 2070 TRI FROZR 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card, https://www.newegg.com/global/ph-en/MSI/BrandStore/ID-1312
Sapphire Tech,     8.192,0%, SAPPHIRE PULSE Radeon RX 570 DirectX 12 11266-66-20G 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Card, https://www.newegg.com/global/ph-en/Sapphire-Tech/BrandStore/ID-1561
EVGA, 12.111,0%, EVGA GeForce GTX 1660 SUPER BLACK GAMING Video Card 06G-P4-1061-KR 6GB GDDR6 Single Fan, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
ASUS, 19.261,0%, ASUS AMD Radeon RX 5700 Overclocked 8G GDDR6 Dual Fan EVO Edition HDMI DisplayPort Gaming Graphics Card (DUAL-RX5700-O8G-EVO), https://www.newegg.com/global/ph-en/ASUS/BrandStore/ID-1315
MSI, 28.686,0%, MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super GAMING X 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card, https://www.newegg.com/global/ph-en/MSI/BrandStore/ID-1312
ASUS, 22.346,0%, ASUS Dual GeForce RTX 2070 DirectX 12 DUAL-RTX2070-O8G-MINI 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card, https://www.newegg.com/global/ph-en/ASUS/BrandStore/ID-1315
EVGA, 29.819,0%, EVGA GeForce RTX 2070 SUPER XC ULTRA+ Video Card OVERCLOCKED 2.75-Slot Extreme Cool Dual 70C Gaming RGB Metal Backplate 08G-P4-3175-KR 8GB 15.5 GHz GDDR6, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
Sapphire Tech, 14.552,0%, SAPPHIRE Radeon RX 5600 XT 11296-01-20G 6GB GDDR6 PCI Express 4.0 x16 Video Card, https://www.newegg.com/global/ph-en/Sapphire-Tech/BrandStore/ID-1561
MSI, 38.354,0%, MSI GeForce RTX 2080 SUPER DirectX 12 RTX 2080 Super Gaming X TRIO 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card, https://www.newegg.com/global/ph-en/MSI/BrandStore/ID-1312
ASRock, 21.991,0%, ASRock Phantom Gaming D Radeon RX 5700 XT 8G OC Video Card RX5700XT PGD 8GO, https://www.newegg.com/global/ph-en/ASRock/BrandStore/ID-1944
EVGA, 38.635,0%, EVGA GeForce RTX 2080 SUPER XC ULTRA GAMING Video Card 08G-P4-3183-KR 8GB GDDR6 RGB LED Metal Backplate, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
ASUS,     8.617,0%, ASUS GeForce GTX 1650 SUPER Overclocked 4GB Phoenix Fan Edition HDMI DP DVI Graphics Card (PH-GTX1650S-O4G), https://www.newegg.com/global/ph-en/ASUS/BrandStore/ID-1315
EVGA, 38.977,0%, EVGA GeForce RTX 2080 SUPER XC GAMING Video Card 08G-P4-3182-KR 8GB GDDR6 RGB LED Metal Backplate, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
Sapphire Tech, 22.521,0%, SAPPHIRE NITRO+ Radeon RX 5700 XT 100416NT+8GSR 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card, https://www.newegg.com/global/ph-en/Sapphire-Tech/BrandStore/ID-1561
GIGABYTE, 11.118,0%, GIGABYTE Radeon RX 5500 XT DirectX 12 GV-R55XTOC-8GD 8GB 128-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card, https://www.newegg.com/global/ph-en/GIGABYTE/BrandStore/ID-1314
ASRock, 16.111,0%, ASRock Phantom Gaming D3 Radeon RX 5600 XT DirectX 12 RX5600XT PGD3 6GO 6GB 192-Bit GDDR6 PCI Express 4.0 x16 HDCP Ready Video Card, https://www.newegg.com/global/ph-en/ASRock/BrandStore/ID-1944
