BRAND     , PRICES    ,  SAVES    , TITLES   , LINK    
GIGABYTE, 12.144,0%, GIGABYTE GeForce GTX 1660 SUPER MINI ITX OC 6G Graphics Card 170mm Compact Size 6GB 192-Bit GDDR6 GV-N166SIXOC-6GD Video Card, https://www.newegg.com/global/ph-en/GIGABYTE/BrandStore/ID-1314
GIGABYTE, 21.968,0%, GIGABYTE GeForce RTX 2070 WINDFORCE 8G (Rev 3.0) Graphics Card 2 x WINDFORCE Fans 8GB 256-Bit GDDR6 GV-N2070WF2-8GD (Rev 3.0) Video Card, https://www.newegg.com/global/ph-en/GIGABYTE/BrandStore/ID-1314
GIGABYTE, 26.157,0%, GIGABYTE GeForce RTX 2070 Super WINDFORCE OC 3X 8G Graphics Card 3 x WINDFORCE Fans 8GB 256-Bit GDDR6 GV-N207SWF3OC-8GD Video Card, https://www.newegg.com/global/ph-en/GIGABYTE/BrandStore/ID-1314
GIGABYTE, 28.318,0%, GIGABYTE GeForce RTX 2070 Super GAMING OC 3X 8G Graphics Card 3 x WINDFORCE Fans 8GB 256-Bit GDDR6 GV-N207SGAMING OC-8GD Video Card, https://www.newegg.com/global/ph-en/GIGABYTE/BrandStore/ID-1314
GIGABYTE, 14.577,0%, GIGABYTE GeForce GTX 1660 Ti OC 6G Graphics Card 2 x WINDFORCE Fans 6GB 192-Bit GDDR6 GV-N166TOC-6GD Video Card, https://www.newegg.com/global/ph-en/GIGABYTE/BrandStore/ID-1314
GIGABYTE, 37.438,0%, GIGABYTE GeForce RTX 2080 Super WINDFORCE OC 8G Graphics Card 3 x WINDFORCE Fans 8GB 256-Bit GDDR6 GV-N208SWF3OC-8GD Video Card, https://www.newegg.com/global/ph-en/GIGABYTE/BrandStore/ID-1314
GIGABYTE, 31.717,0%, GIGABYTE AORUS GeForce RTX 2070 Super 8G Graphics Card WINDFORCE Stack 8GB 256-Bit GDDR6 GV-N207SAORUS-8GC Video Card, https://www.newegg.com/global/ph-en/GIGABYTE/BrandStore/ID-1314
ASUS, 26.581,0%, ASUS GeForce RTX 2070 Super Overclocked 8G EVO GDDR6 Dual-Fan Edition VR Ready HDMI DisplayPort Gaming Graphics Card (DUAL-RTX2070S-O8G-EVO), https://www.newegg.com/global/ph-en/ASUS/BrandStore/ID-1315
GIGABYTE, 21.866,0%, GIGABYTE Radeon RX 5700 XT GAMING OC 8G Graphics Card PCIe 4.0 8GB 256-Bit GDDR6 GV-R57XTGAMING OC-8GD Video Card, https://www.newegg.com/global/ph-en/GIGABYTE/BrandStore/ID-1314
GIGABYTE, 18.684,0%, GIGABYTE Radeon RX 5700 GAMING OC 8G Graphics Card PCIe 4.0 8GB 256-Bit GDDR6 GV-R57GAMING OC-8GD Video Card, https://www.newegg.com/global/ph-en/GIGABYTE/BrandStore/ID-1314
