BRAND     , PRICES    ,  SAVES    , TITLES   , LINK    
ASUS, 31.394,0%, ASUS ROG STRIX GeForce RTX 2070 SUPER Advanced Overclocked 8G GDDR6 HDMI DisplayPort USB Type-C Gaming Graphics Card (ROG-STRIX-RTX2070S-A8G-GAMING), https://www.newegg.com/global/ph-en/ASUS/BrandStore/ID-1315,
EVGA, 16.871,17%, EVGA GeForce RTX 2060 KO GAMING Video Card 06G-P4-2066-KR 6GB GDDR6 Dual Fans Metal Backplate, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402,
GIGABYTE, 21.112,0%, GIGABYTE GeForce RTX 2070 WINDFORCE 8G (Rev 3.0) Graphics Card 2 x WINDFORCE Fans 8GB 256-Bit GDDR6 GV-N2070WF2-8GD (Rev 3.0) Video Card, https://www.newegg.com/global/ph-en/GIGABYTE/BrandStore/ID-1314,
ASUS, 41.287,0%, ASUS ROG STRIX GeForce RTX 2080 SUPER Advanced Overclocked 8G GDDR6 HDMI DP 1.4 USB Type-C Gaming Graphics Card (ROG-STRIX-RTX2080S-A8G-GAMING), https://www.newegg.com/global/ph-en/ASUS/BrandStore/ID-1315,
GIGABYTE, 21.323,0%, GIGABYTE Radeon RX 5700 XT GAMING OC 8G Graphics Card PCIe 4.0 8GB 256-Bit GDDR6 GV-R57XTGAMING OC-8GD Video Card, https://www.newegg.com/global/ph-en/GIGABYTE/BrandStore/ID-1314,
ZOTAC, 26.131,0%, ZOTAC GAMING GeForce RTX 2070 SUPER MINI 8GB GDDR6 256-bit 14 Gbps Gaming Graphics Card IceStorm 2.0 Super Compact ZT-T20710E-10M, https://www.newegg.com/global/ph-en/ZOTAC/BrandStore/ID-12150,
GIGABYTE, 26.237,0%, GIGABYTE GeForce RTX 2070 Super WINDFORCE OC 3X 8G Graphics Card 3 x WINDFORCE Fans 8GB 256-Bit GDDR6 GV-N207SWF3OC-8GD Video Card, https://www.newegg.com/global/ph-en/GIGABYTE/BrandStore/ID-1314,
GIGABYTE, 27.757,0%, GIGABYTE GeForce RTX 2070 Super GAMING OC 3X 8G Graphics Card 3 x WINDFORCE Fans 8GB 256-Bit GDDR6 GV-N207SGAMING OC-8GD Video Card, https://www.newegg.com/global/ph-en/GIGABYTE/BrandStore/ID-1314,
ASUS,     9.881,0%, ASUS ROG Strix GeForce GTX 1650 SUPER Advanced 4GB Edition GDDR6 HDMI 2.0 DP 1.4 Gaming Graphics Card (ROG-STRIX-GTX1650S-A4G-GAMING), https://www.newegg.com/global/ph-en/ASUS/BrandStore/ID-1315,
ASUS, 38.151,0%, ASUS GeForce RTX 2080 SUPER Overclocked 8G GDDR6 Dual-Fan EVO Edition VR Ready HDMI DisplayPort 1.4 Graphics Card (DUAL-RTX2080S-O8G-EVO), https://www.newegg.com/global/ph-en/ASUS/BrandStore/ID-1315,
GIGABYTE, 22.521,0%, GIGABYTE AORUS Radeon RX 5700 XT 8G Graphics Card PCIe 4.0 8GB 256-Bit GDDR6 GV-R57XTAORUS-8GD Video Card, https://www.newegg.com/global/ph-en/GIGABYTE/BrandStore/ID-1314,
ASUS, 11.919,0%, ASUS AMD Radeon RX 5500 XT Overclocked O8G GDDR6 Dual Fan EVO Edition HDMI DisplayPort Gaming Graphics Card (DUAL-RX5500XT-O8G-EVO), https://www.newegg.com/global/ph-en/ASUS/BrandStore/ID-1315,
GIGABYTE, 12.593,0%, GIGABYTE GeForce GTX 1660 GAMING OC 6G Graphics Card 3 x WINDFORCE Fans 6GB 192-Bit GDDR5 GV-N1660GAMING OC-6GD Video Card, https://www.newegg.com/global/ph-en/GIGABYTE/BrandStore/ID-1314,
GIGABYTE, 21.991,0%, GIGABYTE GeForce RTX 2060 Super WINDFORCE OC 8G Graphics Card 2 x WINDFORCE Fans 8GB 256-Bit GDDR6 GV-N206SWF2OC-8GD Rev 2.0 Video Card, https://www.newegg.com/global/ph-en/GIGABYTE/BrandStore/ID-1314,
GIGABYTE, 37.438,0%, GIGABYTE GeForce RTX 2080 Super WINDFORCE OC 8G Graphics Card 3 x WINDFORCE Fans 8GB 256-Bit GDDR6 GV-N208SWF3OC-8GD Video Card, https://www.newegg.com/global/ph-en/GIGABYTE/BrandStore/ID-1314,
EVGA, 18.184,0%, EVGA GeForce RTX 2060 XC BLACK GAMING 6GB GDDR6 HDB Fan Graphics Card 06G-P4-2061-KR, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402,
